;id;distance;up;down;min;max
366;284;5.39 km;1'040 m;41 m;1'079 m;2'105 m
367;2842;5.63 km;1'085 m;42 m;1'409 m;2'452 m
368;285;3.32 km;907 m;0 m;1'198 m;2'105 m
369;289;4.02 km;1'114 m;5 m;911 m;2'020 m
370;2929;5.28 km;1'033 m;27 m;1'537 m;2'543 m
371;293;2.69 km;440 m;7 m;1'521 m;1'956 m
372;2933;2.28 km;456 m;18 m;2'105 m;2'543 m
373;2937;3.49 km;640 m;33 m;1'723 m;2'330 m
374;2938;8.49 km;1'157 m;43 m;1'672 m;2'786 m
375;2942;na;na;na;na;na
376;2943;1.77 km;89 m;27 m;1'097 m;1'170 m
377;2944;7.05 km;621 m;27 m;1'655 m;2'249 m
378;2945;2.55 km;181 m;92 m;3'079 m;3'259 m
379;2946;8.35 km;1'696 m;18 m;1'151 m;2'829 m
380;2947;2.69 km;334 m;62 m;2'190 m;2'466 m
381;2948;5.21 km;710 m;46 m;1'609 m;2'302 m
382;2949;4.44 km;596 m;422 m;2'008 m;2'391 m
383;2970;5.32 km;955 m;1 m;812 m;1'766 m
384;2994;5.98 km;783 m;12 m;1'460 m;2'232 m
385;2996;7.53 km;730 m;127 m;1'616 m;2'293 m
386;3003;na;na;na;na;na
387;3004;na;na;na;na;na
388;3026;9.42 km;1'477 m;173 m;805 m;2'115 m
389;3044;1.49 km;78 m;27 m;1'793 m;1'847 m
390;3050;8.47 km;736 m;58 m;1'097 m;1'784 m
391;3053;9.74 km;1'075 m;56 m;1'097 m;2'127 m
392;3055;5.48 km;1'031 m;28 m;1'097 m;2'109 m
393;3058;5.42 km;630 m;30 m;1'897 m;2'497 m
394;3061;9.72 km;1'180 m;35 m;1'476 m;2'622 m
395;3063;8.19 km;885 m;818 m;1'953 m;2'641 m
396;3064;9.94 km;429 m;179 m;1'841 m;2'090 m
397;3065;9.14 km;572 m;463 m;2'180 m;2'717 m
398;3066;4.23 km;366 m;1 m;1'623 m;1'989 m
399;3067;3.58 km;127 m;5 m;944 m;1'066 m
400;3068;8.26 km;1'085 m;51 m;1'537 m;2'572 m
401;3070;0.68 km;48 m;11 m;2'522 m;2'562 m
402;3071;12.79 km;768 m;1'217 m;1'888 m;2'972 m
403;3072;10.91 km;1'505 m;961 m;1'978 m;3'217 m
404;3073;6.96 km;535 m;470 m;2'467 m;2'881 m
405;3078;11.36 km;1'173 m;141 m;1'310 m;2'449 m
406;3079;5.37 km;746 m;69 m;2'087 m;2'781 m
407;3080;5.03 km;379 m;298 m;1'791 m;2'119 m
408;3081;4.10 km;721 m;34 m;1'566 m;2'263 m
409;3126;9.16 km;1'034 m;463 m;1'600 m;2'429 m
410;31316;5.16 km;1'025 m;20 m;1'841 m;2'849 m
411;3148;1.79 km;50 m;14 m;2'095 m;2'132 m
412;3149;3.72 km;763 m;48 m;2'288 m;3'046 m
413;3150;7.15 km;1'448 m;124 m;877 m;2'240 m
414;3152;11 km;1'338 m;362 m;1'363 m;2'639 m
415;3153;5.27 km;1'184 m;32 m;1'723 m;2'876 m
416;3154;3.39 km;987 m;19 m;1'359 m;2'328 m
417;3167;7.50 km;1'735 m;61 m;1'161 m;2'834 m
418;3169;5.10 km;429 m;18 m;1'171 m;1'594 m
419;3173;6.82 km;850 m;84 m;1'236 m;2'003 m
420;3174;7.56 km;1'213 m;20 m;1'331 m;2'525 m
421;3175;11.83 km;722 m;152 m;1'871 m;2'502 m
422;3178;4.24 km;111 m;278 m;2'257 m;2'502 m
423;3179;0.07 km;6 m;2 m;1'859 m;1'866 m
424;3182;5.40 km;710 m;40 m;1'623 m;2'317 m
425;3183;4.96 km;768 m;43 m;1'578 m;2'303 m
426;3184;2.69 km;153 m;237 m;2'706 m;2'873 m
427;3186;6.72 km;1'297 m;37 m;1'316 m;2'576 m
428;3191;1.19 km;2 m;216 m;2'363 m;2'577 m
429;3198;11.92 km;1'202 m;959 m;1'613 m;2'633 m
430;3200;5.96 km;724 m;2 m;1'613 m;2'335 m
431;3203;6.04 km;1'222 m;19 m;1'381 m;2'584 m
432;3204;5.30 km;1'226 m;11 m;1'368 m;2'584 m
433;3205;3.29 km;836 m;19 m;1'615 m;2'432 m
434;3206;6.49 km;650 m;502 m;2'320 m;2'802 m
435;3207;3.69 km;1'008 m;39 m;1'839 m;2'835 m
436;3208;4.38 km;36 m;1'037 m;1'808 m;2'835 m
437;3209;5.32 km;1'338 m;110 m;1'412 m;2'640 m
438;3210;3.44 km;643 m;124 m;2'101 m;2'623 m
439;3212;5.62 km;804 m;1 m;1'300 m;2'104 m
440;3213;9.92 km;886 m;124 m;1'784 m;2'574 m
441;3214;15.35 km;1'317 m;440 m;1'280 m;2'379 m
442;3215;2.13 km;369 m;0 m;1'613 m;1'982 m
443;3228;14.04 km;929 m;91 m;1'774 m;2'616 m
444;3233;4.54 km;57 m;738 m;2'611 m;3'293 m
445;3240;6.76 km;316 m;12 m;1'700 m;2'005 m
446;3241;11.39 km;830 m;21 m;1'774 m;2'584 m
447;3242;4.84 km;897 m;2 m;1'697 m;2'593 m
448;3243;7.45 km;940 m;488 m;2'198 m;2'981 m
449;3246;4.74 km;1'036 m;16 m;1'441 m;2'472 m
450;3247;7.37 km;1'233 m;14 m;834 m;2'053 m
451;3248;7.72 km;981 m;44 m;956 m;1'895 m
452;3250;3.85 km;1'036 m;126 m;994 m;2'018 m
